audio_file|text|speaker_name
wavs/utt_0013.wav|Để làm ra video chi tiết như này thì mình đã tốn khá khá usage, vậy nên mọi người cho mình xin một subscribe nha.|female_1
wavs/utt_0159.wav|Như ở đây mình thấy View Timeline màu hơi nhạt với trầm kiểu hơi muted,|female_1
wavs/utt_0015.wav|prototype, slide, wireframe và animation chỉ bằng cách trò chuyện với Claw.|female_1
wavs/utt_0170.wav|nên mình sẽ discard phần chỉnh này. Mình chỉ demo để cho mọi người thấy thôi.|female_1
wavs/utt_0053.wav|Đầu tiên thì các bạn có thể vào claw.ai.design hoặc bấm vào mục Design ở ứng dụng Claw trên máy tính.|female_1
wavs/utt_0171.wav|Và vì đây là mình tự chỉnh tay trên Canvas, không có sự hỗ trợ của Model nên nó không tốn thêm usage,|female_1
wavs/utt_0044.wav|một trong những model tốn token nhất của Claw. Điểm cộng là bạn chỉ cần set up một lần trước dự án của mình.|female_1
wavs/utt_0161.wav|nhưng một khi bạn sửa ở đây thì toàn bộ Design System cũng sẽ kế thừa thay đổi đó,|female_1
wavs/utt_0042.wav|Đây là bước tổng usage nhất trong Claw Design vì Claw phải dựng cả một hệ thống.|female_1
wavs/utt_0005.wav|design system cho đến landing page và prototype. Vậy,|female_1
wavs/utt_0112.wav|Còn đây là 3 direction của Claw. Nhìn chung Claw đi theo hướng tối giản và sạch hơn,|female_1
wavs/utt_0189.wav|Nếu các bạn thấy phần 1 hữu ích, thì hãy cho mình xin 1 like và subscribe nha.|female_1
wavs/utt_0138.wav|Rồi, sau tầm 20 phút thì mình đã có một design system hoàn chỉnh dành cho GoStack.|female_1
wavs/utt_0145.wav|Chi tiết hơn nữa thì có Elevation, Logo trên nền sáng và nền tối,|female_1
wavs/utt_0030.wav|nên nếu bạn dùng cả ba thì phải để ý một chút. Nhưng mà đừng lo,|female_1
wavs/utt_0119.wav|Và nó cũng bám rất sát tagline của app là transform chaos into clarity.|female_1
wavs/utt_0113.wav|đúng với guideline calm, minimal mà mình đã đưa từ đầu.|female_1
wavs/utt_0124.wav|Và lúc chỉnh mọi người nhớ feedback thật cụ thể. Cả Claw và ChatGPT đều sửa SPG khá nhanh khi instruction của mình đủ rõ.|female_1
wavs/utt_0037.wav|thanh điều hướng và layout tức là spacing, grid system và bổ cục trang.|female_1
wavs/utt_0003.wav|Để giải quyết vấn đề này thì gần đây Anthropic đã cho ra Claw Design,|female_1
wavs/utt_0136.wav|Quá trình tạo Claw Design thực ra khá là tốn thời gian, dù Claw nói là 5 phút,|female_1
wavs/utt_0101.wav|Nhưng mình vẫn khuyên dùng Opus thay vì Sonnet vì khả năng vision của nó mạnh hơn.|female_1
wavs/utt_0066.wav|làm side project, ôn thi hoặc build một sản phẩm riêng.|female_1
wavs/utt_0032.wav|Một bước cực quan trọng mà hầu như ai cũng bỏ qua khi thiết kế giao diện chính là Design System.|female_1
wavs/utt_0060.wav|Rồi, sau khi bấm Create here, Claw Design sẽ yêu cầu các bạn miêu tả thương hiệu một cách chi tiết.|female_1
wavs/utt_0104.wav|Nhưng đổi lại mình thấy Claw bám instruction sát hơn, nó có bước tự kiểm tra lại nên logo ra thường sạch,|female_1
wavs/utt_0052.wav|font hệ thống mặc định, logo không có ý nghĩa. Nên hôm nay mình sẽ cho nó một bản sắc riêng bằng cách build một Design System đàng hoàng.|female_1
wavs/utt_0061.wav|Đây là một phần khá quan trọng nên mình sẽ nói kỹ hơn một chút.|female_1
wavs/utt_0102.wav|Điểm khác biệt đầu tiên mình thấy ở đây là tốc độ. ChatGPT mất khoảng 4 phút để ra 3 logo kèm SVG code.|female_1
wavs/utt_0080.wav|Các bạn có thể link code từ GitHub, chọn một folder code trên máy,|female_1
wavs/utt_0120.wav|Vì vậy mình quyết định chọn logo này và đưa vào Claw Design. Nói thật thì mình đã thử chạy lại prompt này khá nhiều lần ở cả hai bên.|female_1
wavs/utt_0110.wav|Các lớp giấy xếp trồng lên nhau khá đúng tinh thần stack trong GoStack.|female_1
wavs/utt_0128.wav|Mình không muốn Claw lựa chọn bảng màu dựa vào logo này. Bởi vì có thể có những direction khác,|female_1
wavs/utt_0069.wav|rồi các view như Today, Dashboard và Roadmap để người dùng theo dõi việc cần làm.|female_1
wavs/utt_0147.wav|Ở đây, Claw chọn font chủ đạo là Instrument Sheriff, Ở đây,|female_1
wavs/utt_0121.wav|Có lần logo rất rất ổn nhưng cũng có lần lỗi tỷ lệ, icon khó hiểu hoặc wordmark bị lệch.|female_1
wavs/utt_0140.wav|dành cho ai, và cảm giác product này nên mang lại. Sau đó là Visual Foundations.|female_1
wavs/utt_0076.wav|Có thể là font, màu sắc hay phong cách. Mà do mình còn đang phân vân nên mấy quyết định thiết kế này thì mình sẽ cùng Claw khám phá sau.|female_1
wavs/utt_0105.wav|ít lỗi. Còn ChatGPT thì nhanh hơn nhưng mình vẫn gặp vài lỗi lặt vặt phải sửa.|female_1
wavs/utt_0000.wav|Các bạn có để ý là các website được tạo ra bởi AI đều có aesthetics rất giống nhau,|female_1
wavs/utt_0183.wav|từ một cái app generic, giờ nó đã có bản sắc riêng. Thật ra ban đầu mình định gói gọn tất cả trong một video thôi,|female_1
wavs/utt_0016.wav|Nó được vận hành bởi Opus, model vision mạnh nhất của Claw.|female_1
wavs/utt_0132.wav|Canvas là nơi các thiết kế sẽ hiện ra. Các bạn hãy để ý là sau khi nhận phần việc,|female_1
wavs/utt_0095.wav|Thêm nữa, các bạn lưu ý phải yêu cầu rõ output là SVG vì SVG có thể scale lên xuống mà không bị vỡ hình.|female_1
wavs/utt_0184.wav|nhưng để cover hết các use case của Claw Design thì video phải dài hơn 1 tiếng mất,|female_1
wavs/utt_0153.wav|Hồi đầu Timeline View hiện số lễ kiểu 1,8 tuần thay vì làm tròn thành 2,|female_1
wavs/utt_0148.wav|Claw chọn font chủ đạo là Instrument Sheriff, với Handcane Grotesque cho Body. Đều là máy font rất là clean,|female_1
wavs/utt_0094.wav|app, app này dùng để làm gì, vấn đề nó giải quyết, đối tượng người dùng và tagline.|female_1
wavs/utt_0038.wav|Vậy Design System là một bộ quy tắc thiết kế mà Claw sẽ tuân thủ mỗi khi tạo ra bất cứ thứ gì. Thông thường khi bạn không đưa ra định hướng thiết kế cụ thể thì AI sẽ chọn phương án giao diện phổ biến và an toàn nhất nên cái nào nó làm ra cũng giống giống nhau.|female_1
